p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
8.00613016550582e-62 4.28676632007037 0.486 0.031 1.1459974718905e-57 0 UBE2C
1.38293302083282e-60 3.55732300413361 0.549 0.06 1.9795303260201e-56 0 ASPM
8.17929111860052e-56 3.5529263535133 0.51 0.053 1.17078373071648e-51 0 UBE2S
1.06269728532107e-49 4.21087929271535 0.395 0.023 1.52114489420857e-45 0 GTSE1
1.1952457313752e-47 2.61989733129831 0.518 0.074 1.71087473989046e-43 0 TPX2
6.42766836491614e-42 2.81115972816346 0.439 0.056 9.20056449754097e-38 0 CKS2
1.47915357155816e-41 2.74087143874741 0.458 0.066 2.11726042232835e-37 0 CKAP2
9.31512019417117e-41 3.04120365124606 0.407 0.047 1.33336630459366e-36 0 CDCA8
2.78140323348057e-39 2.16361167825956 0.498 0.085 3.98130058840409e-35 0 CENPM
1.14784341557024e-38 2.69966304215285 0.375 0.037 1.64302306504724e-34 0 H2AC14
9.23748639384229e-37 2.82336078769391 0.379 0.043 1.32225380241459e-32 0 BIRC5
1.20886496283347e-36 2.31061313279031 0.427 0.063 1.73036930779983e-32 0 H2BC9
9.6619892232823e-36 3.54471073026609 0.328 0.029 1.38301713742063e-31 0 HMMR
1.57512595700674e-34 2.78241360453883 0.372 0.048 2.25463529485944e-30 0 PRC1
2.01075561453174e-33 2.27318295331733 0.316 0.029 2.87819558664073e-29 0 H4C4
2.09731702228479e-33 2.92168436619045 0.32 0.031 3.00209958569845e-29 0 CCNA2
1.3770294621682e-32 2.78648180827596 0.336 0.039 1.97107997214756e-28 0 DLGAP5
3.98285969134661e-31 2.54952366936546 0.372 0.058 5.70106536219354e-27 0 CKS1B
1.43086481059869e-30 1.93172810987927 0.395 0.068 2.04813988989097e-26 0 H2AX
2.47219257829156e-30 3.24173523688698 0.304 0.034 3.53869645656654e-26 0 CENPE
1.05495669974484e-29 3.05075779474782 0.296 0.032 1.51006502001476e-25 0 CDKN3
2.88187175826237e-29 2.39912191238153 0.36 0.058 4.12511123477675e-25 0 KIF20B
4.75480027345199e-29 3.16542993492863 0.277 0.026 6.80602111141918e-25 0 KIF2C
1.47616896828488e-27 2.7395323631532 0.296 0.037 2.11298826120298e-23 0 FBXO5
7.84535101840965e-27 2.6843702472192 0.281 0.032 1.12298354477516e-22 0 H2BC3
1.85545295361766e-26 2.15714438089779 0.32 0.048 2.65589535780833e-22 0 CEP55
2.79843155547711e-26 2.28854437323134 0.344 0.06 4.00567492850993e-22 0 TUBA1C
2.08600199201333e-25 2.27883215274825 0.292 0.04 2.98590325136788e-21 0 KNL1
4.50954697825675e-24 2.56584813367732 0.289 0.045 6.45496554467672e-20 0 AURKA
5.53468315858037e-24 2.51302191632694 0.292 0.047 7.92234547319194e-20 0 H2AC15
7.60769911534967e-24 1.86126823935511 0.364 0.077 1.08896605137115e-19 0 H4C5
7.85473101731388e-24 2.9196260424143 0.285 0.045 1.12432619781831e-19 0 H1-1
1.53968502530605e-23 2.29662791664458 0.285 0.043 2.20390514522308e-19 0 KIF11
7.90466904611369e-22 2.30217520735961 0.265 0.04 1.13147432726071e-17 0 SGO2
3.08581174626435e-21 1.52277873182064 0.403 0.11 4.41703093360279e-17 0 MIS18BP1
5.64636462129859e-21 1.68800965581313 0.328 0.069 8.08220631892681e-17 0 ZDHHC12
5.19980150724762e-19 2.01251692445382 0.285 0.06 7.44299587747425e-15 0 NCAPD3
6.52530998343699e-19 2.20167871035071 0.265 0.052 9.34032871029171e-15 0 CENPW
3.27689961474811e-18 1.39010356335355 0.391 0.118 4.69055410855045e-14 0 LMNB1
5.66713629526444e-17 1.78228286305476 0.277 0.064 8.11193889304153e-13 0 CENPU
9.08647104379072e-17 1.90540878789754 0.265 0.061 1.3006374652082e-12 0 ATAD5
3.68111496105882e-16 1.38263352652069 0.336 0.097 5.2691479552596e-12 0 CNTRL
4.44588453521611e-16 1.65365602805493 0.296 0.079 6.36383912370835e-12 0 NCAPD2
9.03886128253208e-16 1.13195460896857 0.375 0.119 1.29382260398164e-11 0 RALY
2.04380696204708e-14 1.09294277843308 0.316 0.092 2.92550528547419e-10 0 H2AC6
5.34602408673387e-14 1.21031434921217 0.32 0.101 7.65229887775087e-10 0 CTCF
7.47128724429008e-14 1.15460589243842 0.36 0.127 1.06944005614768e-09 0 SLC25A5
4.82254702127835e-13 1.17538198473057 0.336 0.118 6.90299380625782e-09 0 CEP57
3.20533338017742e-12 1.35814786672046 0.273 0.085 4.58811420038596e-08 0 FANCI
2.14884900520461e-11 0.92036962054423 0.352 0.132 3.07586246604987e-07 0 IFT25
